lambda_noise,l_vae,l_noise,subject_lpips,global_lpips
1.0,5.659369468688965,0.14848189055919647,0.564032320352868,0.3837054371833801
10.0,5.7683186531066895,0.12608960270881653,0.49761039813857966,0.33961328864097595
50.0,7.573452949523926,0.06902472674846649,0.344988607170217,0.23642349243164062
100.0,8.985645294189453,0.05194687843322754,0.26059623555914524,0.17803317308425903
150.0,9.99395751953125,0.04515896365046501,0.21271813484486482,0.14570359885692596
200.0,10.977574348449707,0.03963682800531387,0.1767486398154969,0.12066419422626495
