n_steps,l_vae,l_noise,subject_lpips,global_lpips
50,9.87618637084961,0.05769283324480057,0.30090257822813044,0.20582449436187744
100,9.546796798706055,0.05595551058650017,0.28843523972773544,0.19704371690750122
200,9.242209434509277,0.05341074988245964,0.27295102936578436,0.18677204847335815
300,8.98280143737793,0.05184581130743027,0.26376088565444616,0.18038593232631683
400,8.736574172973633,0.05029797554016113,0.2596237154183932,0.1775418519973755
500,8.57130241394043,0.048690065741539,0.2514282368720607,0.17156563699245453
600,8.328888893127441,0.04706503078341484,0.24280584113080306,0.16617846488952637
700,8.085310935974121,0.04601478576660156,0.24574395445138614,0.1679958701133728
800,8.299046516418457,0.04495026171207428,0.24150610809666748,0.16470813751220703
900,7.673444747924805,0.04409274086356163,0.24552347602597388,0.16748198866844177
1000,8.003887176513672,0.04379498213529587,0.23695237982269318,0.1619476079940796
