n_steps,l_vae,l_noise,subject_lpips,global_lpips
50,14.212400436401367,0.03958703204989433,0.1532892742554249,0.1054147258400917
100,13.83958625793457,0.03897767886519432,0.1489976367890388,0.10245995968580246
200,13.398418426513672,0.037701189517974854,0.15011229035343185,0.103094682097435
300,13.122817993164062,0.03711734712123871,0.1472378310544779,0.10140534490346909
400,12.936217308044434,0.036355435848236084,0.14813416693578785,0.10194878280162811
500,12.828374862670898,0.03609973564743996,0.14050248706015922,0.09678380191326141
600,12.744771957397461,0.03583194687962532,0.14233807385344052,0.09800943732261658
700,12.627035140991211,0.03563942015171051,0.14045841411973287,0.09667506814002991
800,12.538415908813477,0.03555191680788994,0.1409859247254833,0.09715931862592697
900,12.427156448364258,0.03533470630645752,0.13711244776142528,0.0945444107055664
1000,12.369731903076172,0.035268161445856094,0.13993037625150018,0.09638908505439758
