lambda_noise,l_vae,l_noise,subject_lpips,global_lpips
1.0,6.486490726470947,0.14857448637485504,0.5466852192718401,0.3726308345794678
10.0,6.537161350250244,0.13741549849510193,0.517002202448733,0.35271456837654114
50.0,7.64149808883667,0.09148018062114716,0.40718976219881886,0.27679502964019775
100.0,9.0438871383667,0.06954042613506317,0.3336623473892068,0.2264920175075531
150.0,10.229021072387695,0.060754112899303436,0.2882800177883591,0.19609923660755157
200.0,10.994552612304688,0.055105023086071014,0.24964207835186836,0.17012052237987518
