model,eps 8/255,eps 16/255,eps 32/255,eps 64/255,eps 128/255
eps 8/255,0.0672199391503825,0.1468133847562832,0.2003266807879906,0.230484419937745,0.2291902490058729
eps 16/255,0.0645725749040688,0.1540496177702398,0.2227856019727125,0.2534076422612301,0.2530884727053206
eps 32/255,0.0518309823743141,0.1496325021715631,0.2531989290261076,0.2865989395793311,0.3053363801335976
eps 64/255,0.0398154716365096,0.1354938036333812,0.2936768904638184,0.3387760904501889,0.3405720084955426
eps 128/255,0.0198842002684353,0.0848509659088508,0.3340076112687467,0.4518019990981704,0.4120004223788395
