eps,l_vae,l_noise,subject_lpips,global_lpips,editing_score_instructpix2pix,editing_score_attacksd,editing_score_attack
0.0313725490196078,28.30072021484375,0.008006939664483,0.0591279792888564,0.0150597095489501,1.0,1.0,1.0
0.0627450980392156,23.458904266357425,0.0138783510774374,0.2320106558110915,0.0596995502710342,7.0,3.0,4.25
0.1254901960784313,19.79671859741211,0.0201863497495651,0.4906894446806744,0.1277211606502533,7.0,7.0,7.0
0.2509803921568627,19.09304428100586,0.0242502689361572,0.6635228369788695,0.1746253967285156,7.0,7.0,7.0
0.5019607843137255,18.475360870361328,0.0259058382362127,0.7365187007587526,0.1957254707813263,7.0,7.0,7.0
