lambda_noise,l_vae,l_noise,subject_lpips,global_lpips
1.0,10.442882537841797,0.11824598908424377,0.49868415267591976,0.33826664090156555
10.0,11.131211280822754,0.08275436609983444,0.41070033783638243,0.2785714268684387
50.0,12.6600980758667,0.032448213547468185,0.2599498737868123,0.17729489505290985
100.0,13.528797149658203,0.022017475217580795,0.17298903087064035,0.11905061453580856
150.0,14.154716491699219,0.016993466764688492,0.1272142629058133,0.08816726505756378
200.0,14.710123062133789,0.013989202678203583,0.10773241043447923,0.07476569712162018
